;;;;;;;;;;;;;;
MarkaKodu;TipKodu;MarkaAdı;TipAdı;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
3;149;ALFA ROMEO;147 2.0 5 KAPI SELESPEED DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;150;ALFA ROMEO;147 2.0 3 KAPI DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;153;ALFA ROMEO;156 1.6 TS DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;157;ALFA ROMEO;166 2.0 TS DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;159;ALFA ROMEO;GT 2.0 JTS DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;161;ALFA ROMEO;GT 2.0 JTS DISTINCTIVE SELESPEED;0;0;0;0;0;0;0;0;0;0;0
3;162;ALFA ROMEO;159 1.9 JTS PROGRESSION;0;0;0;0;0;0;0;0;0;0;0
3;163;ALFA ROMEO;159 1.9 JTD PROGRESSION;0;0;0;0;0;0;0;0;0;0;0
3;164;ALFA ROMEO;159 1.9 JTS DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;165;ALFA ROMEO;159 1.9 JTD DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;166;ALFA ROMEO;159 3.2 V6 4x4 DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;167;ALFA ROMEO;159 1.9 JTD PROGRESSION OV;0;0;0;0;0;0;0;0;0;0;0
3;168;ALFA ROMEO;159 1.9 JTD DISTINCTIVE OV;0;0;0;0;0;0;0;0;0;0;0
3;169;ALFA ROMEO;BRERA 2.2 JTS;0;0;0;0;0;0;0;0;0;0;0
3;170;ALFA ROMEO;BRERA 2.2 JTS SKY WINDOW;0;0;0;0;0;0;0;0;0;0;0
3;171;ALFA ROMEO;BRERA 2.4 JTD;0;0;0;0;0;0;0;0;0;0;0
3;172;ALFA ROMEO;BRERA 2.4 JTD SKY WINDOW;0;0;0;0;0;0;0;0;0;0;0
3;173;ALFA ROMEO;BRERA 3.2 V6 Q4;0;0;0;0;0;0;0;0;0;0;0
3;174;ALFA ROMEO;BRERA 3.2 V6 Q4 SKY WINDOW;0;0;0;0;0;0;0;0;0;0;0
3;175;ALFA ROMEO;GT 1.9 GTD BLACKLINE;0;0;0;0;0;0;0;0;0;0;0
3;176;ALFA ROMEO;147 1.6 5 KAPI PROGRESSION (105);0;0;0;0;0;0;0;0;0;0;0
3;177;ALFA ROMEO;147 1.6 3 KAPI PROGRESSION (105);0;0;0;0;0;0;0;0;0;0;0
3;178;ALFA ROMEO;147 1.6 5 COLLEIZONE (120);0;0;0;0;0;0;0;0;0;0;0
3;179;ALFA ROMEO;147 1.6 5 KAPI BLACKLINE (120);0;0;0;0;0;0;0;0;0;0;0
3;180;ALFA ROMEO;147 2.0 5 KAPI SELESPEED BLACKLINE;0;0;0;0;0;0;0;0;0;0;0
3;181;ALFA ROMEO;147 1.6 5 KAPI DISTINCTIVE (105);0;0;0;0;0;0;0;0;0;0;0
3;182;ALFA ROMEO;159 1.9 JTD PROGRESSION Q-TRONIC;0;0;0;0;0;0;0;0;0;0;0
3;183;ALFA ROMEO;159 1.9 JTD DISTINCTIVE Q-TRONIC;0;0;0;0;0;0;0;0;0;0;0
3;184;ALFA ROMEO;SPIDER 2.2 JTS;0;0;0;0;0;0;0;0;0;0;0
3;185;ALFA ROMEO;SPIDER 3.2 V6 Q4;0;0;0;0;0;0;0;0;0;0;0
3;186;ALFA ROMEO;147 1.9 JTD Q2;0;0;0;0;0;0;0;0;0;0;0
3;187;ALFA ROMEO;GT 1.9 JTD Q2;0;0;0;0;0;0;0;0;0;0;0
3;188;ALFA ROMEO;159 1.8 MPI DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0
3;189;ALFA ROMEO;159 1.8 MPI DISTINCTIVE PLUS;0;0;0;0;0;0;0;0;0;0;0
3;190;ALFA ROMEO;159 1.9 JTS DISTINCTIVE PLUS;0;0;0;0;0;0;0;0;0;0;0
3;191;ALFA ROMEO;159 1.9 JTD DISTINCTIVE PLUS;0;0;0;0;0;0;0;0;0;0;0
3;192;ALFA ROMEO;159 1.9 JTD DISTINCTIVE PLUS Q-TRONIC;0;0;0;0;0;0;0;0;0;0;0
3;193;ALFA ROMEO;159 3.2 V6 4x4 DISTINCTIVE PLUS;0;0;0;0;0;0;0;0;0;0;0
3;194;ALFA ROMEO;159 1.8 MPI DISTINCTIVE SPORTSWAGON;0;0;0;0;0;0;0;0;0;0;0
3;195;ALFA ROMEO;159 1.9 JTS DISTINCTIVE SPORTSWAGON;0;0;0;0;0;0;0;0;0;0;0
3;196;ALFA ROMEO;159 1.9 JTD DISTINCTIVE SPORTSWAGON;0;0;0;0;0;0;0;0;0;0;0
3;197;ALFA ROMEO;159 1.9 JTD DISTINCTIVE Q-TRONIC SPORTSW;0;0;0;0;0;0;0;0;0;0;0
3;198;ALFA ROMEO;159 1.8 MPI DISTINCTIVE PLUS SPORTSWAGON;0;0;0;0;0;0;0;0;0;0;0
3;199;ALFA ROMEO;159 1.9 JTS DISTINCTIVE PLUS SPORTSWAGO;0;0;0;0;0;0;0;0;0;0;0
3;200;ALFA ROMEO;159 1.9 JTD DISTINCTIVE PLUS SPORTSWAGON;0;0;0;0;0;0;0;0;0;0;0
3;201;ALFA ROMEO;159 1.9 JTD D.CTIVE PLUS Q-TRONIC SPORTS;0;0;0;0;0;0;0;0;0;0;0
3;202;ALFA ROMEO;147 1.6 5 KAPI BLACKLINE (105);0;0;0;0;0;0;0;0;0;0;0
3;203;ALFA ROMEO;147 1.6 5 KAPI COLLEIZONE (105);0;0;0;0;0;0;0;0;0;0;0
3;204;ALFA ROMEO;BRERA 2.2 JTS SELESPEED;0;0;0;0;0;0;0;0;0;0;0
3;205;ALFA ROMEO;BRERA 3.2 V6 Q4 Q-TRONIC;0;0;0;0;0;0;0;0;0;0;0
3;206;ALFA ROMEO;SPIDER 2.2 JTS SELESPEED;0;0;0;0;0;0;0;0;0;0;0
3;207;ALFA ROMEO;SPIDER 3.2 V6 Q4 Q-TRONIC;0;0;0;0;0;0;0;0;0;0;0
3;208;ALFA ROMEO;MITO 1.4 (78) JUNIOR 3 KAPI;0;0;0;0;0;0;0;0;0;0;0
3;209;ALFA ROMEO;MITO 1.4 TB (155) PROGRESSION 3 KAPI;0;0;0;0;0;0;0;0;0;0;0
3;210;ALFA ROMEO;MITO 1.4 TB (155) DISTINCTIVE 3 KAPI;0;0;0;0;0;0;0;0;0;0;0
3;211;ALFA ROMEO;MITO 1.6 JTD (120) PROGRESSION 3 KAPI;0;0;0;0;0;0;0;0;0;0;0
